name,text,kana,type,kanji,definition,group,"kanji,text,kana,type,definition,group",,,,,"var name = new Verb('text' , 'kana' , type , 'kanji' , 'definition' , 'group');"
talk,__,___,1,_,to talk,basic,"_,__,___,1,to talk,basic",,,,,"var talk = new Verb('__' , '___' , 1 , '_' , 'to talk' , 'basic');"
write,__,__,1,_,to write,basic,"_,__,__,1,to write,basic",,,,,"var write = new Verb('__' , '__' , 1 , '_' , 'to write' , 'basic');"
swim,__,___,1,_,to swim,basic,"_,__,___,1,to swim,basic",,,,,"var swim = new Verb('__' , '___' , 1 , '_' , 'to swim' , 'basic');"
drink,__,__,1,_,to drink,basic,"_,__,__,1,to drink,basic",,,,,"var drink = new Verb('__' , '__' , 1 , '_' , 'to drink' , 'basic');"
play,__,___,1,_,to play,basic,"_,__,___,1,to play,basic",,,,,"var play = new Verb('__' , '___' , 1 , '_' , 'to play' , 'basic');"
die,__,__,1,_,to die,basic,"_,__,__,1,to die,basic",,,,,"var die = new Verb('__' , '__' , 1 , '_' , 'to die' , 'basic');"
cut,__,__,1,_,to cut,basic,"_,__,__,1,to cut,basic",,,,,"var cut = new Verb('__' , '__' , 1 , '_' , 'to cut' , 'basic');"
buy,__,__,1,_,to buy,basic,"_,__,__,1,to buy,basic",,,,,"var buy = new Verb('__' , '__' , 1 , '_' , 'to buy' , 'basic');"
hold,__,__,1,_,to hold,basic,"_,__,__,1,to hold,basic",,,,,"var hold = new Verb('__' , '__' , 1 , '_' , 'to hold' , 'basic');"
runAway,___,___,2,_,to run away,basic,"_,___,___,2,to run away,basic",,,,,"var runAway = new Verb('___' , '___' , 2 , '_' , 'to run away' , 'basic');"
give,___,___,2,_,to give,basic,"_,___,___,2,to give,basic",,,,,"var give = new Verb('___' , '___' , 2 , '_' , 'to give' , 'basic');"
eat2,__,__,1,_,to eat (masculine),basic,"_,__,__,1,to eat (masculine),basic",,,,,"var eat2 = new Verb('__' , '__' , 1 , '_' , 'to eat (masculine)' , 'basic');"
show,___,___,2,_,to show,basic,"_,___,___,2,to show,basic",,,,,"var show = new Verb('___' , '___' , 2 , '_' , 'to show' , 'basic');"
run,__,___,1,_,to run,basic,"_,__,___,1,to run,basic",,,,,"var run = new Verb('__' , '___' , 1 , '_' , 'to run' , 'basic');"
eat,___,___,2,_,to eat,basic,"_,___,___,2,to eat,basic",,,,,"var eat = new Verb('___' , '___' , 2 , '_' , 'to eat' , 'basic');"
leave,__,__,2,_,to exit,basic,"_,__,__,2,to exit,basic",,,,,"var leave = new Verb('__' , '__' , 2 , '_' , 'to exit' , 'basic');"
throwAway,___,___,2,_,to throw away,basic,"_,___,___,2,to throw away,basic",,,,,
drink,__,__,1,_,,,,,,,,
send,__,___,1,_,,,,,,,,
see,__,__,2,,,,,,,,,
existInanimate,__,__,1,,,,,,,,,
existAnimate,__,__,2,,,,,,,,,
do,__,__,3,,,,,,,,,
holdEvent,__,____,1,,,,,,,,,
go,__,__,1,,,,,,,,,
make,__,___,1,,,,,,,,,
begin,___,____,1,,,,,,,,,
wakeUp,___,___,2,,,,,,,,,
continue,__,___,1,,,,,,,,,
stop,___,___,1,,,,,,,,,
stayOver,___,___,1,,,,,,,,,
quit,___,___,2,,,,,,,,,
finish,___,___,1,,,,,,,,,
proceed,__,___,1,,,,,,,,,
beLate,___,____,2,,,,,,,,,
increase,___,___,2,,,,,,,,,
decrease,__,__,1,,,,,,,,,
remain,__,___,1,,,,,,,,,
handOver,__,___,1,,,,,,,,,
enter,__,___,1,,,,,,,,,
putIn,___,___,2,,,,,,,,,
returnHome,__,___,1,,,,,,,,,
answer,___,____,2,,,,,,,,,
appear,___,_____,2,,,,,,,,,
meet,__,__,1,,,,,,,,,
open,___,___,2,,,,,,,,,
close,___,___,2,,,,,,,,,
receive,___,___,1,,,,,,,,,
take,__,__,1,,,,,,,,,
search,__,___,1,,,,,,,,,
pickUp,__,___,1,,,,,,,,,
fall,___,___,2,,,,,,,,,
drop,___,___,1,,,,,,,,,
use,__,___,1,,,,,,,,,
passBy,__,___,,,,,,,,,,
hurry,__,___,1,,,,,,,,,
wait,__,__,1,,,,,,,,,
call,__,__,1,,,,,,,,,
place,__,__,1,,,,,,,,,
know,__,__,,,,,,,,,,
understand,___,___,,,,,,,,,,
collect,___,____,,,,,,,,,,
extend,___,____,,,,,,,,,,
attach,__,__,1,,,,,,,,,
break,___,____,,,,,,,,,,
fix,__,___,,,,,,,,,,
takeOff,__,__,1,,,,,,,,,
examine,___,____,,,,,,,,,,
sit,__,___,,,,,,,,,,
stand,__,__,1,,,,,,,,,
sell,__,__,,,,,,,,,,
arrive,__,__,1,,,,,,,,,
sing,__,___,1,,,,,,,,,
read,__,__,1,,,,,,,,,
laugh,__,____,1,,,,,,,,,
walk,__,___,1,,,,,,,,,
hear,__,__,1,,,,,,,,,
learn,__,___,1,,,,,,,,,
consider,___,____,,,,,,,,,,
sleep,__,__,,,,,,,,,,
teach,___,____,,,,,,,,,,
come,__,__,,,,,,,,,,
do2,__,__,,,,,,,,,,
say,__,__,1,,,,,,,,,
think,__,___,1,,,,,,,,,
show,__,___,1,,,,,,,,,
mix,___,___,,,,,,,,,,
wear,__,__,,,,,,,,,,
wash,__,___,1,,,,,,,,,
grill,__,__,1,,,,,,,,,
win,__,__,1,,,,,,,,,
lose,___,___,,,,,,,,,,
forget,___,____,,,,,,,,,,
remember,___,____,,,,,,,,,,
turn,___,___,,,,,,,,,,
ride,__,__,,,,,,,,,,
protect,__,___,,,,,,,,,,
feel,___,____,,,,,,,,,,
live,___,___,,,,,,,,,,
goUp,___,___,,,,,,,,,,
goDown,___,___,,,,,,,,,,
